location,IDPs,Migrants,Host,Refugee,Returnee,Total
YE18102100130,,,10,,,10
YE18192100101,15,,,,35,50
YE18192311100,,,5,,,5
YE18192310100,,,,,5,5
YE18192310800,,,5,,,5
YE18192310200,,,,,5,5
YE18192310700,,,,,5,5
YE18192310500,5,,,,,5
YE18192210200,5,,,,,5
YE18192211100,,,,,5,5
YE18192410800,,,,,5,5
YE18192410700,,,5,,,5
YE18182610400,5,,,,,5
YE18183510100,,,5,,,5
YE18182510800,5,,,,,5
YE18182211200,,,5,,,5
YE18183710100,,,5,,,5
YE18183010700,,,5,,,5
YE18182913300,5,,,,,5
YE18182710700,,,5,,,5
YE18192100130,,,5,,,5
YE18032100140,,,10,,,10
YE18242311200,5,,,,,5
YE18032100150,,,5,,,5
YE18243200301,5,,,,,5
YE18242411800,5,,,,,5
YE18242410700,,,5,,,5
YE18242510300,,,5,,,5
YE18242610100,5,,,,,5
YE18242210200,5,,,,,5
YE18243710100,5,,,,,5
YE16082110300,,,,,5,5
YE18242300130,,,10,,,10
YE16082110800,10,,,,5,15
YE16082110400,5,,,,,5
YE16082110600,,,5,,,5
YE16082100101,10,,,,10,20
YE16052210300,5,,10,,10,25
YE16082100130,,,5,,,5
YE16052100101,25,,,,55,80
YE16052110200,,,,,10,10
YE16052110700,,,,,5,5
YE16022110100,,,5,,,5
YE16022100101,5,,,,,5
YE16022210100,5,,5,,,10
YE16022310100,,,5,,20,25
YE16022410100,5,,,,,5
YE16022410400,5,,,,,5
YE16062100130,,,5,,,5
YE16092110100,5,,5,,,10
YE16092100101,10,,,,,10
YE16092180100,5,,,,,5
YE16092100130,,,5,,,5
YE16092100140,,,5,,,5
YE16072110400,5,,5,,,10
YE16072110300,,,5,,,5
YE16072100101,5,,,,,5
YE16072110500,10,,,,,10
YE16032110100,10,,,,,10
YE16032110500,,,5,,,5
YE16032100101,10,,,,10,20
YE16032210300,5,,,,,5
YE16032210100,,,10,,,10
YE16032210200,,,,,5,5
YE16062110100,5,,,,,5
YE16062110200,5,,,,,5
YE16062110300,5,,,,,5
YE18252100105,10,0,5,0,60,75
YE16062110400,5,,,,30,35
YE16062110600,10,,,,,10
YE16062210500,,,10,,,10
YE16042100101,5,,,,,5
YE16042110100,,,5,,,5
YE16042310100,5,,5,,,10
YE16042310200,5,,,,10,15
YE16042410200,5,,5,,5,15
YE16042510100,5,,,,5,10
YE16102810400,5,,,,,5
YE16103010100,5,,5,,5,15
YE16103010500,5,,,,,5
YE16103010700,,,,,10,10
YE16102710300,,,5,,,5
YE16072100130,,,5,,,5
YE16102610600,,,,,5,5
YE16102310800,,,5,,,5
YE16102410100,,,10,,,10
YE16012210200,5,,,,,5
YE16012211200,5,,20,,,25
YE16012211500,5,,,,,5
YE16012110100,5,,10,,,15
YE16012110300,,,,,20,20
YE16012410900,,,5,,,5
YE16122210100,,,5,,,5
YE16122210600,,,5,,,5
YE16122211400,,,5,,,5
YE16122210500,5,,,,,5
YE16122310300,10,,10,,,20
YE16122110400,,,5,,,5
YE16122110100,5,,,,,5
YE16122410200,5,,,,,5
YE16122410100,10,,,,,10
YE16113111400,,,5,,,5
YE16113111100,,,5,,,5
YE16113112300,5,,,,,5
